TransactionID,InvoiceNumber,InvoiceDate,DueDate,PaymentDate,SupplierID,SupplierName,SupplierCategory,Department,CostCentre,AccountCode,ExpenseCategory,ExpenseType,NetAmount,VATAmount,GrossAmount,Currency,PaymentStatus,PaymentMethod,TransactionType,FiscalYear,DaysToPayment
TXN-000001,INV-20231200001,2023-12-07,2024-01-06,2024-01-05,SUP-1008,SAV United Kingdom Ltd,IT Hardware,ICT Operations,ICT001,4200,Supplies And Services,Network Equipment,-2254.13,-450.83,-2704.96,GBP,Paid,BACS,Credit Note,2023/2024,-1
TXN-000002,INV-20240800002,2024-08-30,2024-09-13,2024-09-05,SUP-1006,Edmundson Electrical Ltd,Electrical Supplies,Housing,HSG001,5100,Supplies And Services,Electrical Materials,43032.17,8606.43,51638.60,GBP,Paid,Direct Debit,Invoice,2024/2025,-8
TXN-000003,INV-20230400003,2023-04-07,2023-05-07,,SUP-1015,Vodafone Ltd,Telecoms,Operations,OPS001,4500,Supplies And Services,Mobile Services,20579.97,4115.99,24695.96,GBP,Pending,,Invoice,2023/2024,
TXN-000004,INV-20230700004,2023-07-14,2023-08-13,2023-08-12,SUP-1010,Vital Energi Utilities Ltd,Energy & Utilities,Housing,HSG001,5100,Supplies And Services,Utilities,50887.79,10177.56,61065.35,GBP,Paid,Bank Transfer,Invoice,2023/2024,-1
TXN-000005,INV-20241000005,2024-10-01,2024-10-31,2024-10-30,SUP-1003,Siemens Financial Services Ltd,Equipment Finance,Policy,POL001,6100,Capital,Equipment Purchase,-3236.04,-647.21,-3883.25,GBP,Paid,Cheque,Credit Note,2024/2025,-1
TXN-000006,INV-20230500006,2023-05-17,2023-06-16,,SUP-1013,Cinos Ltd,Telecoms,Policy,POL001,6100,Supplies And Services,Telecommunications,59116.99,11823.40,70940.39,GBP,Overdue,,Invoice,2023/2024,
TXN-000007,INV-20240400007,2024-04-24,2024-05-24,2024-05-14,SUP-1015,Vodafone Ltd,Telecoms,Legal,LEG001,6120,Supplies And Services,Telecommunications,9968.58,1993.72,11962.30,GBP,Paid,Cheque,Invoice,2024/2025,-10
TXN-000008,INV-20250300008,2025-03-19,2025-04-18,2025-04-08,SUP-1014,P & M Sinclair Ltd,Construction,Research,RES001,6200,Capital,Renovation Works,32164.86,6432.97,38597.83,GBP,Paid,BACS,Invoice,2024/2025,-10
TXN-000009,INV-20240100009,2024-01-02,2024-01-16,2024-01-06,SUP-1011,Decco Limited,Waste Management,Operations,OPS001,4500,Supplies And Services,Waste Processing,50610.40,10122.08,60732.48,GBP,Paid,BACS,Invoice,2023/2024,-10
TXN-000010,INV-20240200010,2024-02-18,2024-04-18,2024-04-17,SUP-1015,Vodafone Ltd,Telecoms,Legal,LEG001,6120,Supplies And Services,Telecommunications,54809.88,10961.98,65771.86,GBP,Paid,Cheque,Invoice,2023/2024,-1
TXN-000011,INV-20240500011,2024-05-10,2024-07-09,2024-07-05,SUP-1014,P & M Sinclair Ltd,Construction,Research,RES001,6200,Capital,Renovation Works,14985.99,2997.20,17983.19,GBP,Paid,Bank Transfer,Invoice,2024/2025,-4
TXN-000012,INV-20240400012,2024-04-05,2024-05-05,2024-04-27,SUP-1028,Knowledge Train Ltd,Training,Customer Services,CST001,4900,Professional Services,Staff Training,5681.84,0.00,5681.84,GBP,Paid,Bank Transfer,Invoice,2024/2025,-8
